Organisation Code,Legal Name,Trading Name,Is Rto,Rto Status,Registration Manager,Initial Registration Date,Registration Start Date,Registration End Date,Registration End Reason,Head Office Physical Address,Head office location state,Longitude,Latitude,ACN,ABNs,Rto Type,Urls
"	41041","AUSTRALIAN ASSOCIATION OF EDUCATION & RESEARCH PTY LTD","Australian Institute of Language and Further Education",True,"Current","ASQA",2014/10/27,2019/10/27,2024/10/26,"","Level 3, 100-104 Murray Street  Perth WA 6000","WA",115.862340000,-31.953670000,"168023961","49168023961","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.ailfe.wa.edu.au"
"	90271","Australian Careers Business College Pty Ltd","Australian Careers Business College",True,"Current","ASQA",2000/06/05,2018/12/06,2025/12/05,"","28 Memorial Avenue  Liverpool NSW 2170","NSW",150.921830000,-33.924960000,"075367896","81075367896","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.acbc.nsw.edu.au"
"	31642","Australian Careers College Pty Ltd","",True,"Current","ASQA",2008/02/07,2018/02/07,2025/02/06,"","Unit 1 48 Woods St  DARWIN NT 0800","NT",130.843010000,-12.460070000,"126326850","68126326850","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.accollege.edu.au/"
"	5404","Australian Child Care Career Options (ACCCO) Pty Ltd","",True,"Current","ASQA",1998/01/01,2017/04/05,2024/04/03,"","161 Brunswick Street  Fortitude Valley QLD 4006","QLD",153.031210000,-27.455710000,"142107444","25142107444","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.accco.com.au"
"	91779","Australian City International College Pty Ltd","Australian City International College",True,"Current","ASQA",2010/12/17,2015/12/17,2022/12/16,"","Suite 1 Level 2 17-21 Macquarie St  PARRAMATTA NSW 2150","NSW",,,"095557190","16095557190","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.acicollege.edu.au"
"	45182","Australian College of Community and Health Services Pty Ltd","Australian College of Community and Health Services",True,"Current","ASQA",2017/06/09,2017/06/09,2024/06/08,"","Unit 102 30 Cowper St  PARRAMATTA NSW 2150","NSW",151.007160000,-33.820660000,"609896755","18609896755","Education/training Business Or Centre: Privately Operated Registered Training Organisation",""
"	45310","Australian College of Skills & Education Pty Ltd","Australian College of Skills & Education",True,"Current","ASQA",2017/12/06,2017/12/06,2024/12/05,"","269 Bigge St  LIVERPOOL NSW 2170","NSW",150.926230000,-33.924790000,"618480738","33618480738","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.acse.edu.au/"
"	45004","AUSTRALIAN COLLEGE OF TEACHER AIDES AND CHILDCARE PTY LTD","",True,"Current","ASQA",2016/10/02,2016/10/02,2023/10/01,"","23 Edgar St  BOWEN HILLS QLD 4006","QLD",153.037330000,-27.446820000,"610470990","31610470990","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.actac.com.au"
"	91110","Australian College Pty Ltd","AUSTRALIAN COLLEGE LEADERS IN DISTANCE EDUCATION",True,"Current","ASQA",2005/03/09,2016/12/21,2023/12/21,"","Suite 7 70 Croydon St  CRONULLA NSW 2230","NSW",151.151560000,-34.053910000,"111194015","79111194015","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.australiancollege.edu.au"
"	91797","Australian Community Education College Pty Ltd","Australian Community Education College Pty Ltd",True,"Current","ASQA",2011/01/14,2016/01/14,2023/01/13,"","Suite 1 82-90 Allison Cres Menai NSW 2234","NSW",151.017170000,-34.011000000,"130101030","97130101030","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.acec.edu.au"
"	21912","Australian Employment and Training Solutions Pty Ltd as Trustee for the Australian Employment and Training Solutions Unit Trust","Australian Employment & Training Solutions, Australian Employment and Training Solutions Pty Ltd",True,"Current","ASQA",2007/04/11,2018/05/15,2025/05/14,"","Level 17 821 Pacific Hwy  CHATSWOOD NSW 2067","NSW",151.179480000,-33.794770000,"123653752","45123653752","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.aets.edu.au"
"	45229","Australian Global Academy Pty Ltd","",True,"Current","ASQA",2017/08/31,2017/08/31,2024/08/30,"","Suite 11, 69 The Mall  BANKSTOWN NSW 2200","NSW",151.036040000,-33.915710000,"615821773","98615821773","Education/training Business Or Centre: Privately Operated Registered Training Organisation",""
"	41338","Australian Harvard International College PTY LTD","Australian Harbour International College",True,"Current","ASQA",2015/11/09,2022/11/09,2029/11/08,"","Level 2 & 4 114-120 Castlereagh Street Sydney NSW 2000","NSW",151.209720000,-33.871070000,"603036102","74603036102","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.ahic.edu.au"
"	70252","AUSTRALIAN HEALTH AND MANAGEMENT INSTITUTE PTY LTD","",True,"Current","ASQA",2012/04/27,2017/04/27,2024/03/31,"","43-45 Marion St  PARRAMATTA NSW 2150","NSW",151.007410000,-33.822580000,"151238685","33151238685","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.ahmi.edu.au"
"	40185","Australian Health and Science Institute Pty Ltd","",True,"Current","ASQA",2005/08/12,2022/08/12,2029/08/11,"","Suite 101A & 101E, Lvl 1, 130 Main St  BLACKTOWN NSW 2148","NSW",150.910910000,-33.771880000,"113249175","18113249175","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.ahsi.edu.au"
"	1915","Australian Higher Education Academy Pty Ltd","AUSTRALIAN CHILD CARE ACADEMY",True,"Current","ASQA",1998/02/19,2019/04/01,2026/03/31,"","15, 200 Wellington Street  EAST PERTH WA 6004","WA",115.867650000,-31.954310000,"101364247","69101364247","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.ahea.wa.edu.au"
"	32217","Australian Hospitality Skills Recognition Pty Ltd","Australian Skills Management Institute",True,"Current","ASQA",2010/07/25,2022/07/25,2029/07/24,"","Office 1 Level 8 269 Wickham St  FORTITUDE VALLEY QLD 4006","QLD",,,"159857084","23159857084","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://asmitraining.edu.au/"
"	40730","Australian Institute of Advanced Studies Pty Ltd","Australian Institute of Advanced Studies",True,"Current","ASQA",2013/09/30,2018/09/30,2025/09/28,"",""L" Block 1030 Cavendish  Road Mount Gravatt East QLD 4122","QLD",153.091730000,-27.525970000,"163419636","71163419636","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.aias.edu.au"
"	40596","Australian Institute of Vocational Development Pty Ltd","Integracom VIC",True,"Current","ASQA",2013/01/22,2018/01/22,2025/01/21,"","Shop 218 8-34 Gladstone Park Dr  GLADSTONE PARK VIC 3043","VIC",144.884600000,-37.689210000,"145319491","99145319491","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://aivd.com.au/"
"	45809","Australian International College of Skills & Education Pty Ltd","",True,"Current","ASQA",2022/03/29,2022/03/29,2024/03/28,"","Room 2 269 Bigge St  LIVERPOOL NSW 2170","NSW",150.926730000,-33.924590000,"647486833","27647486833","Education/training Business Or Centre: Privately Operated Registered Training Organisation",""
"	91165","Australian Learning Group Pty Ltd","4Life College, Australian Learning Group, Australian College of Sport and Fitness",True,"Current","ASQA",2005/08/18,2016/03/15,2023/03/14,"","1-59 Quay St  HAYMARKET NSW 2000","NSW",151.202020000,-33.880100000,"112741723","28112741723","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.alg.edu.au"
"	45342","Australian Newtown College Pty Ltd","ADVANCE COLLEGE",True,"Current","ASQA",2018/02/19,2018/02/19,2025/02/18,"","Suite 203 11-15 Deane St  BURWOOD NSW 2134","NSW",151.104830000,-33.876770000,"619444147","21619444147","Education/training Business Or Centre: Privately Operated Registered Training Organisation",""
"	31729","Australian Pacific Services Pty Ltd","Training Tailor Made",True,"Current","ASQA",2008/07/25,2018/08/01,2025/07/31,"","33-47 Hollywell Rd (Above Dominos Pizza) Metro Market Shopping Centre BIGGERA WATERS QLD 4216","QLD",,,"104039956","29104039956","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.trainingtailormade.com.au"
"	22158","Australian Technical and Management College Pty Ltd as trustee for Australian Technical and Management College Trust","AUSTRALIAN TECHNICAL AND MANAGEMENT COLLEGE",True,"Current","ASQA",2008/09/04,2019/06/01,2026/05/31,"","470 Bourke St  MELBOURNE VIC 3000","VIC",144.959850000,-37.814990000,"130044745","73130044745","Education/training Business Or Centre: Privately Operated Registered Training Organisation","https://vet.atmc.edu.au/"
"	41503","AUSTRALIAN TRAINING CENTRE PTY LTD","Australian Training Centre",True,"Current","ASQA",2016/05/13,2016/05/13,2023/05/12,"","Unit 8 40-44 Wellington Rd  SOUTH GRANVILLE NSW 2142","NSW",151.011830000,-33.862890000,"169617958","98169617958","Education/training Business Or Centre: Privately Operated Registered Training Organisation",""
"	22594","Australian Vietnamese Women's Association Inc","Australian Vietnamese Women's Association Inc",True,"Current","VRQA",2014/06/30,2014/06/30,2024/05/31,"","7/6 South Road  BRAYBROOK VIC 3019","VIC",144.861130000,-37.792370000,"000000000","69724826405","Community Based Adult Education Provider","http://www.avwa.org.au"
"	40037","Australian Workplace Training Pty Ltd","AUSTRALIAN WORKPLACE TRAINING",True,"Current","ASQA",2003/09/05,2018/11/01,2025/10/31,"","Suite 6 Level 1 Elizabeth Shopping Centre Elizabeth SA 5112","SA",138.666460000,-34.721930000,"092044918","85092044918","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.awt.edu.au"
"	40489","Axiom Syndicate Pty Ltd as trustee for Axiom Syndicate Discretionary Trust","Axiom College",True,"Current","ASQA",2012/08/20,2017/08/20,2024/08/19,"","18 Mayneview Street  Milton QLD 4064","QLD",153.007050000,-27.465690000,"158511927","86535290515","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.axiomcollege.com.au"
"	21701","Balance Training Services Pty Ltd","Balance Training Services Pty Ltd ,  WDEA Training",True,"Current","VRQA",2005/11/18,2014/10/02,2026/05/31,"","52 Fairy Street  WARRNAMBOOL VIC 3280","VIC",142.478450000,-38.382890000,"109798781","41109798781","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.wdea.org.au"
"	90357","Bankstown Community College Inc","BCCI, BCC International Institute, BCC Institute",True,"Current","ASQA",2000/07/31,2022/11/04,2029/11/03,"","457 Chapel Rd Level 1 BANKSTOWN NSW 2200","NSW",151.035080000,-33.913820000,"","16579316093","Community Based Adult Education Provider","http://www.bcci.edu.au"
"	90301","Baptist Business College Ltd","Bedford College",True,"Current","ASQA",2000/03/15,2019/07/01,2026/06/30,"","2 Columbia Ct  Baulkham Hills NSW 2153","NSW",150.970170000,-33.731170000,"000049187","99000049187","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.bedford.edu.au"
"	0383","Batchelor Institute of Indigenous Tertiary Education","BATCHELOR INSTITUTE OF INDIGENOUS TERTIARY EDUCATION CASUAL PAYMENTS SYSTEM, BATCHELOR INSTITUTE OF INDIGENOUS TERTIARY EDUCATION, MACS BATCHELOR CHILD CARE CENTRE INC, Batchelor Institute",True,"Current","ASQA",1999/01/01,2017/01/01,2023/12/30,"","Cnr Kirra Cres & Nurndina St  Batchelor NT 0845","NT",131.032050000,-13.046890000,"","32039179166","Technical And Further Education Institute, Skills Institute Or Polytechnic","http://www.batchelor.edu.au"
"	20459","Bellarine Training and Community Hub Inc.","Bellarine Training and Community Hub Inc.",True,"Current","VRQA",1992/12/01,1992/12/01,2025/05/30,"","1 John Dory Drive  OCEAN GROVE VIC 3226","VIC",144.538590000,-38.261070000,"000000000","45840639622","Community Based Adult Education Provider","http://www.btach.com.au"
"	90274","Benchmark Resources Pty Ltd","Benchmark College",True,"Current","ASQA",2001/07/02,2019/03/14,2026/03/13,"","Ground Floor, 331 High St PENRITH NSW 2750","NSW",150.700820000,-33.753820000,"083656400","58083656400","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.benchmark.edu.au"
"	3077","Bendigo Kangan Institute","RESTAURANT 18EIGHTYSEVEN, TRAINING VIRTUAL CAMPUS, Kangan Institute, Bendigo TAFE Hair, Beauty and Barbering Spa Centre, Kangan, AUSTRALIAN AUTOMOTIVE CENTRE OF EXCELLENCE, VETASSESS, EWORKS, BENDIGO REGIONAL INSTITUTE OF TAFE",True,"Current","ASQA",1995/12/04,2022/07/01,2029/06/30,"","59-69 Pearcedale Pde  BROADMEADOWS VIC 3047","VIC",144.918630000,-37.678150000,"","74802942886","Technical And Further Education Institute, Skills Institute Or Polytechnic","http://www.bendigokangan.edu.au"
"	40693","Berkeley Business Institute Pty Ltd","Berkeley Business Institute Pty Ltd",True,"Current","ASQA",2013/06/26,2018/06/26,2025/06/25,"","Level 1, 338-340 Pitt Street  SYDNEY NSW 2000","NSW",151.208100000,-33.876400000,"159598197","82159598197","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.berkeley.nsw.edu.au"
"	41181","Block Learning Pty Ltd","Training College of Australia",True,"Current","ASQA",2015/06/17,2022/06/17,2029/06/16,"","55 Caradon Dr  TRUGANINA VIC 3029","VIC",144.727810000,-37.858570000,"604637541","69604637541","Education/training Business Or Centre: Privately Operated Registered Training Organisation",""
"	45272","Blue Bay College Pty Ltd","Blue Bay College",True,"Current","ASQA",2017/10/24,2017/10/24,2024/10/23,"","72 Nerang St  SOUTHPORT QLD 4215","QLD",153.411680000,-27.969590000,"615702335","28615702335","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.blubaycollege.com.au"
"	4687","Box Hill Institute","Greater Melbourne Employment & Training Services, Pets on Elgar, Box Hill Institute",True,"Current","ASQA",1995/10/09,2022/07/01,2029/06/30,"","Elgar Campus 465 Elgar Road  Box Hill VIC 3128","VIC",145.115040000,-37.815960000,"","76268630462","Technical And Further Education Institute, Skills Institute Or Polytechnic","http://www.boxhill.edu.au"
"	3621","BRACE Education Training and Employment Limited","BRACE EDUCATION TRAINING AND EMPLOYMENT",True,"Current","ASQA",1992/12/01,2016/01/01,2022/12/31,"","Suite 3 Level 2 54-58 Wells St  FRANKSTON VIC 3199","VIC",,,"105861710","55105861710","Community Based Adult Education Provider","http://www.brace.com.au"
"	90925","Brainwave Learning Centre Pty Ltd","Wave Learning",True,"Current","ASQA",2003/12/15,2020/01/16,2027/01/15,"","288 Queen St  CAMPBELLTOWN NSW 2560","NSW",150.812080000,-34.069500000,"100735475","17100735475","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.wavelearning.com.au"
"	41138","Brighton Pacific Pty. Ltd","Australia Institute of Business and Technology",True,"Current","ASQA",2015/05/04,2022/03/26,2029/03/25,"","Level 3 18 Mount Gravatt-Capalaba Road Upper Mount Gravatt QLD 4122","QLD",153.082100000,-27.559230000,"168731048","37168731048","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.aibtglobal.edu.au"
"	31315","Brisbane College of Australia Pty Ltd","Brisbane College of Australia",True,"Current","ASQA",2006/07/13,2016/07/13,2023/07/12,"","160 Edward Street  Brisbane City QLD 4000","QLD",153.027660000,-27.469740000,"098983389","61098983389","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.bc.edu.au"
"	32075","BUILDING FUTURES PTY LTD","Building Futures Education",True,"Current","ASQA",2009/12/07,2021/12/07,2028/12/06,"","15 HIGH ST  Forest Lake QLD 4078","QLD",152.971670000,-27.625090000,"615782771","66615782771","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.bfe.edu.au"
"	45446","Burpengary State Secondary College","Burpengary State Secondary College",True,"Current","ASQA",2018/10/24,2021/07/01,2025/12/31,"","Pitt Road  Burpengary QLD 4505","QLD",152.968910000,-27.168980000,"","20278920229","School - Government",""
"	40520","CAIRNS COLLEGE OF ENGLISH Pty Ltd","CAIRNS COLLEGE OF ENGLISH & BUSINESS",True,"Current","ASQA",2012/10/11,2017/12/11,2024/11/14,"","27 Aplin St  CAIRNS CITY QLD 4870","QLD",145.772770000,-16.921990000,"142423612","87142423612","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.cce.qld.edu.au"
"	0101","Canberra Institute of Technology","Canberra Institute of Technology, CIT Solutions",True,"Current","ASQA",1993/01/01,2017/10/02,2024/07/20,"","GPO Box 826  Canberra ACT 2601","ACT",149.131500000,-35.280630000,"","43273796990","Technical And Further Education Institute, Skills Institute Or Polytechnic","http://www.cit.edu.au"
"	41420","Career Ready Pty Ltd","Career Ready Pty Ltd, Rhodes International College",True,"Current","ASQA",2016/02/16,2018/06/26,2023/02/15,"","Level 8 140 Elizabeth St  SYDNEY NSW 2000","NSW",151.209600000,-33.875090000,"607423941","69607423941","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.ric.edu.au"
"	3683","Central Highlands Group Training Inc","Ballarat Group Training (BGT)",True,"Current","VRQA",1996/01/01,1996/01/01,2025/01/31,"","25-39 Barkly Street  BALLARAT VIC 3350","VIC",143.868560000,-37.564400000,"000000000","73288998195","Community Based Adult Education Provider","http://www.bgt.org.au"
"	40939","Central Queensland University","Central Queensland University, CQUniversity Australia",True,"Current","ASQA",2014/05/27,2017/12/31,2024/12/30,"","CQ University Chancellery, Building 1, Bruce Highway North Rockhampton QLD 4702","QLD",150.516610000,-23.318340000,"","39181103288","University - Government","http://www.cqu.edu.au"
"	52789","Central Regional TAFE","Central Regional TAFE",True,"Current","WA TAC",2016/04/11,2016/04/11,2023/04/30,"","Geraldton Campus 175 Fitzgerald Street GERALDTON WA 6530","WA",114.607650000,-28.783990000,"","29430373880","Technical And Further Education Institute, Skills Institute Or Polytechnic","http://www.centralregionaltafe.wa.edu.au"
"	0373","Charles Darwin University","IH Darwin, NORTHERN TERRITORY RURAL COLLEGE, TERRITORY FM, International House Darwin, CDU Northern Editions, NORTH FLINDERS INTERNATIONAL HOUSE, UNIPRINT NT, CDU PRess, CHARLES DARWIN UNIVERSITY FOUNDATION, KARAWA RESTAURANT, TRAINING SOLUTIONS, CDU Child Care Centre, DESERT LANTERN RESTAURANT, EDTRAVEL NORTHERN TERRITORY, CDU BOOKSHOP, CENTRE FOR YOUTH MUSIC",True,"Current","ASQA",1992/02/01,2018/09/21,2025/09/20,"","Ellengowan Drive  Casuarina NT 0810","NT",130.874300000,-12.365560000,"","54093513649","University - Government","http://www.cdu.edu.au"
